新欧尚餐厅,金鸡湖路205号欧尚超市二楼铺位号603-2001, WiFi 
中鸿餐厅,车站路61号中鸿时尚新天地, WiFi 全天营业 店内参观 生日餐会 
娄底氐星路餐厅,氐星路春园步行街12栋一层和二层, WiFi 全天营业 生日餐会 
桂阳向阳路餐厅,城关镇向阳路1号, WiFi 生日餐会 
怀化银座餐厅,麻阳路口西都银座商业广场一层, WiFi 店内参观 生日餐会 
怀化步步高迎丰餐厅,迎丰西路207号, WiFi 全天营业 店内参观 生日餐会 
衡阳湘江东餐厅,广东、临江路口喜富来购物广场一层、二层, WiFi 生日餐会 
常德滨湖公园餐厅,大润发超市一楼肯德基, WiFi 店内参观 生日餐会 
边城餐厅,人民北路99号和盛堂一楼肯德基, WiFi 全天营业 生日餐会 
香城餐厅,高新区解放大道33号香江城市花园1、2栋裙楼一层, WiFi 店内参观 生日餐会 
金珠餐厅,蔡伦中路295号金珠茂业一楼(原新都康年酒店旁), WiFi 店内参观 生日餐会 
五岭广场餐厅,五岭广场北侧五岭路6号1层, WiFi 全天营业 店内参观 生日餐会 
东郡餐厅,人民东路与万家丽路交汇处大润发超市, WiFi 全天营业 店内参观 生日餐会 
红星餐厅,中意一路红星农副产品大市场内第一幢101号, WiFi 全天营业 生日餐会 
水星楼餐厅,人民中路与青年北路交汇处水星楼商业广场4号1-2层, WiFi 生日餐会 
步行街餐厅,锑都中路36号（步行街入口处）, WiFi 店内参观 生日餐会 
金鸿餐厅,桃花仑中路209号金鸿大厦一.二楼, WiFi 店内参观 生日餐会 
开元路餐厅,星沙开发区开元路45号一层, WiFi 全天营业 生日餐会 
恒盛餐厅,韶山南路120号大润发超市一层, WiFi 店内参观 生日餐会 
天虹百货餐厅,芙蓉南路368号BOBO天下城, WiFi 店内参观 生日餐会 
弘林餐厅,芙蓉中路3段266号弘林国际一、二楼, WiFi 全天营业 生日餐会 
岁宝百货餐厅,芙蓉中路1段288号岁宝百货一楼, WiFi 店内参观 生日餐会 
长沙火车站餐厅,火车站候车大楼雨廊南侧消防门往南4个门店及扩建房屋, WiFi 全天营业 
书院南路餐厅,新开铺174号河马公园商场一楼, WiFi 店内参观 生日餐会 
白石商业广场餐厅,建设北路8号, WiFi 店内参观 生日餐会 
金沙路餐厅,金沙路1号创意财富新世界商业广场裙楼1层, WiFi 店内参观 生日餐会 
左家塘餐厅,城南东路269号（位于城南东路和曙光路交汇处东南角）, WiFi 全天营业 店内参观 生日餐会 
南州路餐厅,南州路老正街一层, WiFi 生日餐会 
衡阳火车站餐厅,衡阳火车站候车室1候车室下方, WiFi 全天营业 
益阳桃花仑餐厅,桃花仑路凯德广场一层肯德基餐厅, WiFi 店内参观 生日餐会 
怀化市府餐厅,市委路口佳惠超市旁, WiFi 店内参观 生日餐会 
窑岭餐厅,人民中路228号1层, WiFi 生日餐会 
湘潭新华隆餐厅,建设南路步步高广场一层, WiFi 全天营业 生日餐会 
冷水江锑都餐厅,锑都中路21号, WiFi 生日餐会 
郴州飞虹餐厅,桔井路37号一层, WiFi 店内参观 生日餐会 
东玺门餐厅,荷花路与马王堆路交汇东北角100米处东玺门人人乐1层, WiFi 店内参观 生日餐会 
武陵路餐厅,城南四眼井社区居委会一层, WiFi 全天营业 店内参观 生日餐会 
永州零陵北路餐厅,零陵北路和凤凰路十字路口东北角步步高购物广场, WiFi 店内参观 生日餐会 
怀化流金广场餐厅,怀化溆浦流金广场一楼, WiFi 全天营业 店内参观 生日餐会 
桃花中路餐厅,桃花江镇桃花中路47号, WiFi 店内参观 生日餐会 
县正餐厅,县正路49号邮政局综合大楼一层, WiFi 店内参观 生日餐会 
金帝广场餐厅,株洲车站路金帝广场2楼, WiFi 
友阿奥莱餐厅,芙蓉南路27号一层友阿奥莱购物城, WiFi 店内参观 生日餐会 
蓝天机场餐厅,黄花国际机场T2（新）航站楼负一楼, WiFi 
万向城餐厅,解放路万向城一楼, WiFi 店内参观 生日餐会 
金源餐厅,湘江世纪城金源购物广场1层号, WiFi 全天营业 店内参观 生日餐会 
玉兰路餐厅,桐梓坡路与玉兰路口长房时代城人人乐超市一层, WiFi 店内参观 生日餐会 
湘府东路餐厅,湘府东路459号梦和商业广场（华润万家超市）1楼, WiFi 店内参观 生日餐会 
车站广场分餐厅,火车站广场, WiFi 全天营业 店内参观 生日餐会 
岳阳高铁出发层餐厅,武广高铁岳阳东站出发层岳1-2、1-4.1-10商铺, WiFi 全天营业 生日餐会 
凌霄餐厅,万家丽路与凌霄路交汇处好润佳购物中心一楼, WiFi 店内参观 生日餐会 
龙泰餐厅,长青中街42号（龙泰上品大厦）, WiFi 生日餐会 
桥南市场餐厅,武陵镇渡口社区居委会车站路楚天禾大酒店一二层, WiFi 全天营业 店内参观 生日餐会 
琼湖餐厅,琼湖中路百惠商业广场一楼, WiFi 店内参观 生日餐会 
金星中路餐厅,金星中路湘腾商业广场餐厅, WiFi 全天营业 店内参观 生日餐会 
娄星餐厅,氐星路万豪城市广场, WiFi 店内参观 生日餐会 
木莲餐厅,万家丽中路三段59号喜乐地中心首层, WiFi 店内参观 生日餐会 
长安路餐厅,临湘长安镇长安西路12号1层, WiFi 全天营业 店内参观 生日餐会 
文明路餐厅,文明路餐厅一二层, WiFi 店内参观 生日餐会 
金鄂路餐厅,岳阳大道步步高广场, WiFi 全天营业 店内参观 生日餐会 
青阳路餐厅,青阳中路中鼎大厦（东风广场对面）, WiFi 店内参观 生日餐会 
麓山餐厅,湖南清水路59号麓山中南商业广场麓山, WiFi 店内参观 生日餐会 
崇尚餐厅,玉潭镇花明北路东水晶郦城崇尚百货一楼, WiFi 店内参观 生日餐会 
邵阳帝王餐厅,蔡锷路地王大厦, WiFi 店内参观 生日餐会 
长沙高铁出发层餐厅,武广高铁长沙南站出发层长3-1-1商铺餐厅, WiFi 
长沙高铁到达层餐厅,武广高铁长沙南站达到层长1-3商铺餐厅, WiFi 
株洲高铁出发层餐厅,武广高铁西站株1-5商铺, WiFi 
衡阳新正餐厅,西渡新正路帝龙时代广场, WiFi 生日餐会 
瓷城餐厅,都汇城嘉茂银座商业广场一楼肯德基餐厅, WiFi 生日餐会 
永州潇水路餐厅,潇水路步行街餐厅, WiFi 店内参观 生日餐会 
岳阳建湘路餐厅,花板桥路青年中路与建湘路交汇处西南侧（天伦购物公园）, WiFi 店内参观 生日餐会 
邵阳红岭餐厅,开发区红岭路199号, WiFi 生日餐会 
车站北路餐厅,车站北路与火炬路交汇处步步高超市一楼肯德基餐厅, WiFi 店内参观 生日餐会 
张家界回龙路餐厅,回龙路十字街7栋101号首层肯德基餐厅, WiFi 店内参观 生日餐会 
益阳桥北餐厅,桥北马良南路1号（家润多超市一楼）, WiFi 店内参观 生日餐会 
凤凰虹桥餐厅,凤凰县虹桥东路8号, WiFi 
华容县迎宾路餐厅,城关镇迎宾中路肯德基餐厅, WiFi 店内参观 生日餐会 
浏阳市大瑶餐厅,大瑶镇汇丰社区肯德基餐厅, WiFi 店内参观 生日餐会 
株洲月塘餐厅,湖南新华路华润万家购物广场一楼肯德基餐厅, WiFi 店内参观 生日餐会 
东安湘中广场餐厅,建设大道湘中广场旁, WiFi 生日餐会 
DT株洲尚格餐厅,湖南株洲大道尚格名城尚格DT肯德基餐厅, WiFi 生日餐会 
韶山南路DT餐厅,中意一路330号, WiFi 店内参观 生日餐会 
蓝天碧水餐厅餐厅,青山南路72号1层和地下一层, WiFi 
荆州东门餐厅,荆沙路与江津路交汇处东升广场一楼（东门外）, WiFi 店内参观 
荆州红门路餐厅,江津中路204号大润发超一楼, WiFi 店内参观 
当阳子龙餐厅餐厅,当阳市子龙路31号A座一楼, WiFi 
钟家村餐厅,汉阳大道139号汉商商场1楼, WiFi 
上海南路餐厅,上海南路3号699生活空间3号楼, WiFi 店内参观 生日餐会 
大众餐厅,叠山路287号大众购物中心一楼, WiFi 店内参观 生日餐会 
新建欧尚餐厅,欧尚百货一楼, WiFi 店内参观 生日餐会 
九瑞大道餐厅,九瑞大道大润发超市1层肯德基, WiFi 店内参观 生日餐会 
浔阳路餐厅,浔阳路106-118号, WiFi 
南京西路餐厅,南京西路277号, WiFi 店内参观 生日餐会 
中山城餐厅,中山路177号, WiFi 
丽华餐厅,南昌孺子路1号丽华购物广场一层, WiFi 
上饶解百餐厅,解放路1号一层, WiFi 生日餐会 
胜利餐厅,胜利北路1号, WiFi 全天营业 店内参观 生日餐会 
袁州餐厅,东风大街246号, WiFi 全天营业 生日餐会 
万寿宫餐厅,步行街万寿宫肯德基, WiFi 
萍乡北桥餐厅,萍乡雅天购物公园一楼, WiFi 全天营业 店内参观 生日餐会 
抚州临川餐厅,大公路81号, WiFi 生日餐会 
玉河餐厅,解放西路81-83号凯德广场一楼, WiFi 店内参观 生日餐会 
站前广场餐厅,洛阳路70号1-2层, WiFi 全天营业 
文山餐厅,阳明东路22号一层, WiFi 全天营业 生日餐会 
广场南路餐厅,广场南路东西侧开门子购物广场1-2层, WiFi 店内参观 生日餐会 
永盛餐厅,时代广场1层和2层, WiFi 全天营业 生日餐会 
金钻广场餐厅,八一四路金钻广场10号楼1层, WiFi 生日餐会 
广丰月兔广场餐厅,月兔广场北侧新天地东侧时代购物广场1-2层, WiFi 生日餐会 
萍乡文化路餐厅,萍乡文化路步行街1号, WiFi 生日餐会 
莲塘餐厅,南昌县莲塘镇五一路308号1-2层, WiFi 生日餐会 
亿升餐厅,赣东大道亿升广场, WiFi 店内参观 生日餐会 
新洪大餐厅,洪城路588号1-2层, WiFi 
赣州启德餐厅,赣州文清路62号, WiFi 店内参观 生日餐会 
高安筠泉餐厅,筠泉路财富广场1F-2F层, WiFi 生日餐会 
新八一餐厅,八一大道南昌百货大楼一至二层, WiFi 全天营业 
饶州餐厅,建设路17号国宴洲际酒店一二层肯德基餐厅, WiFi 生日餐会 
经开餐厅,经济技术开发区榴云路与枫林大道交汇处, WiFi 店内参观 生日餐会 
新南门广场餐厅,南门广场百货大楼一楼, WiFi 
赤乌大道餐厅,瑞昌联盛国际广场一楼, WiFi 店内参观 生日餐会 
城南路餐厅,莲塘城南路贵都国际花城大润发超一楼, WiFi 店内参观 
药都餐厅,樟树市共和西路2号福旺佳商场首层1-2层, WiFi 店内参观 生日餐会 
青云谱餐厅,井冈山大道悦达-家乐福国际购物广场一楼, WiFi 店内参观 生日餐会 
翠微路餐厅,章贡区中航城九方天虹广场一楼, WiFi 全天营业 生日餐会 
赣州西门餐厅,红旗大道94号国际时代广场大润发商场一层, WiFi 
会展路餐厅,红谷滩万达广场会展, WiFi 店内参观 
抚州融旺餐厅,赣东大道345号融旺国际, WiFi 生日餐会 
玉山新建南路餐厅,解放中路人民商场一楼, WiFi 生日餐会 
慈溪中心餐厅,解放中街266-276号, WiFi 全天营业 店内参观 生日餐会 
杭州庆丰餐厅,教工路23号, WiFi 店内参观 
安吉胜利餐厅,递铺镇胜利东路99号肯德基, WiFi 全天营业 店内参观 生日餐会 
义乌香山餐厅,稠州西路119号, WiFi 全天营业 生日餐会 
富阳大润发餐厅,孙权路209号, WiFi 店内参观 生日餐会 
杭州复兴餐厅,复兴路103号全季酒店一楼, WiFi 店内参观 生日餐会 
东阳定安餐厅,吴宁镇双岘路1号, WiFi 全天营业 生日餐会 
瓯北锦江餐厅,瓯北双塔路1036号锦江大酒店一楼, WiFi 全天营业 店内参观 生日餐会 
余杭交通大厦餐厅,余杭邱山大街477号, WiFi 全天营业 店内参观 生日餐会 
浦江福泰隆餐厅,人民东路28号，福泰隆广场1楼, WiFi 全天营业 店内参观 生日餐会 
金华锦绣餐厅,回溪街172号, WiFi 全天营业 店内参观 生日餐会 
杭州运河广场餐厅,金华路与衢州街交叉口运河广场地下一层(区政府对面), 生日餐会 
嘉兴北站餐厅,禾兴北路1599号（汽车北站旁）, WiFi 
周巷兴业餐厅,周巷镇兴业南路1号, WiFi 全天营业 店内参观 生日餐会 
兰溪大丰餐厅,劳动路68号大丰大超, WiFi 生日餐会 
萧山泰富餐厅,肖绍路和通惠路交叉口泰富广场一楼, 全天营业 
金华福华餐厅,五一路福华广场一层, WiFi 店内参观 生日餐会 
嵊州八达餐厅,城中路106-3号, WiFi 全天营业 店内参观 生日餐会 
兰溪兰江餐厅,兰江街道丹溪大道20号1-2号1-2层, WiFi 店内参观 生日餐会 
武义时代餐厅,城解放街7号、8号地块, WiFi 全天营业 店内参观 生日餐会 
南浔泰安餐厅,南浔镇泰安路161号泰安商业广场6号楼, WiFi 全天营业 店内参观 生日餐会 
乐清清远餐厅,清远路221号时代广场一楼, WiFi 全天营业 店内参观 生日餐会 
杭州香积寺餐厅,香积寺路17号, WiFi 全天营业 店内参观 生日餐会 
玉环玉兴餐厅,城中路33号粮食大厦一楼, WiFi 全天营业 店内参观 生日餐会 
绍兴胜利餐厅,胜利东路58号(绍兴电力大厦一楼), WiFi 店内参观 生日餐会 
义乌宾王餐厅,宾王路208号, WiFi 全天营业 店内参观 
镇海鼓楼餐厅,镇海鼓楼南大街320-328号, WiFi 店内参观 生日餐会 
杭州红石餐厅,湖墅南路216-218号, 店内参观 生日餐会 
临海回浦餐厅,回浦路崇和门广场北门7-10, WiFi 全天营业 店内参观 生日餐会 
象山天安餐厅,天安路与建设路交叉口, WiFi 全天营业 店内参观 生日餐会 
温州邻里餐厅,上江路80号易初莲花超一楼, WiFi 店内参观 生日餐会 
椒江红旗餐厅,中山西路297号, WiFi 店内参观 生日餐会 
虹桥幸福餐厅,虹桥镇幸福东路时代广场66-68号, WiFi 全天营业 店内参观 生日餐会 
新塘乐购餐厅,新塘路29-31号, WiFi 店内参观 生日餐会 
欧尚沧海餐厅,百丈东路1188号, WiFi 生日餐会 
衢州香溢餐厅,县学街18号, WiFi 店内参观 生日餐会 
慈溪虞波餐厅,浒山街道新城大道271-279号人民医院对面, WiFi 全天营业 店内参观 生日餐会 
杭州阳光餐厅,下沙区4号大街15-2新美商场一楼, WiFi 全天营业 店内参观 生日餐会 
绍兴悦来餐厅,解放南路1385号越兰大厦南区一楼, WiFi 全天营业 店内参观 生日餐会 
嘉兴江南摩尔餐厅,洪兴西路1766号-江南摩尔西区一层A111, WiFi 全天营业 店内参观 生日餐会 
苍南城中餐厅,灵溪镇城中路107号苍南大酒店一楼, WiFi 全天营业 店内参观 生日餐会 
温岭昌辉餐厅,东辉北路139号温岭购物中心, WiFi 店内参观 生日餐会 
杭州城站餐厅,城站广场北二楼(自助售票处旁）, WiFi 
温州火车站餐厅,温州大道火车站一楼售票厅旁, WiFi 店内参观 
欧尚东港餐厅,普陀东港兴普大道266号欧尚超市一楼, WiFi 全天营业 店内参观 
宁波万达餐厅,鄞州四明中路999号万达广场2号门, WiFi 全天营业 店内参观 
义乌宗泽餐厅,稠州北路586号1楼, WiFi 店内参观 生日餐会 
青田鹤城餐厅,鹤城东路92--94号, WiFi 全天营业 店内参观 生日餐会 
泗门慈客隆餐厅,泗门镇镇北路109号, WiFi 全天营业 店内参观 生日餐会 
平湖新华餐厅,平湖解放中路233号中百商都1-2层, WiFi 全天营业 店内参观 
温州大学城餐厅,高教园区国大商务中心一层, WiFi 店内参观 生日餐会 
温州文化中心餐厅,学院中路212号鹿城文化中心一楼, WiFi 店内参观 生日餐会 
诸暨时代餐厅,艮塔路66号（艮塔东路与浣东北路交叉口）, WiFi 店内参观 生日餐会 
余杭莱蒙餐厅,临平藕花洲大街303号莱蒙商业中心, WiFi 全天营业 店内参观 生日餐会 
义乌北苑餐厅,北苑路北苑商贸城东区1楼, WiFi 全天营业 生日餐会 
杭州文三餐厅,文三路478号华星时代广场C座一层, WiFi 全天营业 
黄岩新世纪餐厅,东城街道砚池社区横街路193、195号, WiFi 全天营业 生日餐会 
柳市柳青餐厅,柳市镇柳青路166号（红炉牛排旁), WiFi 全天营业 店内参观 生日餐会 
金华时代餐厅,八一南街288号, WiFi 全天营业 店内参观 生日餐会 
石浦金山餐厅,象山县石浦镇金山路102号, WiFi 全天营业 生日餐会 
